type, d, d1, D1, D2, D3, D4, B, b, f, C_snap, r12_min, r0_max, da_min, da_max, Da_max, Db_min, ba_min, Ca_max, ra_max, C, C0, Pu, n_ref, n_limit, mass, designation, capped_one_side, snap_ring, kr, f0
nr, 10, 17, , 24.8, 28.17, 34.7, 9, 1.35, 1.12, 2.06, 0.6, 0.4, 14.2, 16.9, 25.8, 36, 1.5, 3.18, 0.6, 5.4, 2.36, 0.1, 56000, 28000, 0.035, 6200-ZNR, 6200-ZZNR, SP 30, 0.025, 13
nr, 10, 17, , 24.8, 28.17, 34.7, 9, 1.35, 1.12, 2.06, 0.6, 0.4, 14.2, , 25.8, 36, 1.5, 3.18, 0.6, 5.4, 2.36, 0.1, 56000, 36000, 0.032, 6200 NR, , SP 30, 0.025, 13
nr, 12, 18.4, , 27.4, 30.15, 36.7, 10, 1.35, 1.12, 2.06, 0.6, 0.4, 16.2, 18.4, 27.8, 38, 1.5, 3.18, 0.6, 7.28, 3.1, 0.132, 50000, 26000, 0.037, 6201-ZNR, 6201-ZZNR, SP 32, 0.025, 12
nr, 12, 18.4, , 27.4, 30.15, 36.7, 10, 1.35, 1.12, 2.06, 0.6, 0.4, 16.2, 18.4, 27.8, 38, 1.5, 3.18, 0.6, 7.28, 3.1, 0.132, 50000, 32000, 0.037, 6201 NR, , SP 32, 0.025, 12
nr, 15, 21.7, , 30.5, 33.17, 39.7, 11, 1.35, 1.12, 2.06, 0.6, 0.4, 19.2, 21.6, 30.8, 41, 1.5, 3.18, 0.6, 8.06, 3.75, 0.16, 43000, 22000, 0.045, 6202-ZNR, 6202-ZZNR, SP 35, 0.025, 13
nr, 15, 21.7, , 30.5, 33.17, 39.7, 11, 1.35, 1.12, 2.06, 0.6, 0.4, 19.2, 21.6, 30.8, 41, 1.5, 3.18, 0.6, 8.06, 3.75, 0.16, 43000, 28000, 0.045, 6202 NR, , SP 35, 0.025, 13
nr, 17, 24.5, , 35, 38.1, 44.6, 12, 1.35, 1.12, 2.06, 0.6, 0.4, 21.2, 24.4, 35.8, 46, 1.5, 3.18, 0.6, 9.95, 4.75, 0.2, 38000, 19000, 0.065, 6203-ZNR, 6203-ZZNR, SP 40, 0.025, 13
nr, 17, 24.5, , 35, 38.1, 44.6, 12, 1.35, 1.12, 2.06, 0.6, 0.4, 21.2, 24.4, 35.8, 46, 1.5, 3.18, 0.6, 9.95, 4.75, 0.2, 38000, 24000, 0.065, 6203 NR, , SP 40, 0.025, 13
nr, 17, 26.5, , 39.6, 44.6, 52.7, 14, 1.35, 1.12, 2.46, 1, 0.4, 22.6, 26.4, 41.4, 54, 1.5, 3.58, 1, 14.3, 6.55, 0.275, 34000, 17000, 0.12, 6303-ZNR, 6303-ZZNR, SP 47, 0.03, 12
nr, 17, 26.5, , 39.6, 44.6, 52.7, 14, 1.35, 1.12, 2.46, 1, 0.4, 22.6, , 41.4, 54, 1.5, 3.58, 1, 14.3, 6.55, 0.275, 34000, 22000, 0.12, 6303 NR, , SP 47, 0.03, 12
nr, 20, 27.2, , 37.2, 39.75, 46.3, 12, 1.35, 1.12, 2.06, 0.6, 0.4, 23.2, 27.1, 38.8, 48, 1.5, 3.18, 0.6, 9.95, 5, 0.212, 38000, 19000, 0.069, 6004-ZNR, 6004-ZZNR, SP 42, 0.025, 14
nr, 20, 27.2, , 37.2, 39.75, 46.3, 12, 1.35, 1.12, 2.06, 0.6, 0.4, 23.2, 27.1, 38.8, 48, 1.5, 3.18, 0.6, 9.95, 5, 0.212, 38000, 24000, 0.069, 6004 NR, , SP 42, 0.025, 14
nr, 20, 27.2, , 37.2, 39.75, 46.3, 12, 1.35, 1.12, 2.06, 0.6, 0.4, 23.2, , 38.8, 48, 1.5, 3.18, 0.6, 9.95, 5, 0.212, 38000, 24000, 0.069, 6004 NR, , SP 42, 0.025, 14
nr, 20, 28.8, , 40.6, 44.6, 52.7, 14, 1.35, 1.12, 2.46, 1, 0.4, 25.6, 28.7, 41.4, 54, 1.5, 3.58, 1, 13.5, 6.55, 0.28, 32000, 17000, 0.11, 6204 NR, , SP 47, 0.025, 13
nr, 20, 30.3, , 44.8, 49.73, 57.9, 15, 1.35, 1.12, 2.46, 1.1, 0.4, 27, 30.3, 45, 59, 1.5, 3.58, 1, 16.8, 7.8, 0.335, 30000, 15000, 0.15, 6304-ZNR, 6304-ZZNR, SP 52, 0.03, 12
nr, 20, 30.3, , 44.8, 49.73, 57.9, 15, 1.35, 1.12, 2.46, 1.1, 0.4, 27, 30.3, 45, 59, 1.5, 3.58, 1, 16.8, 7.8, 0.335, 30000, 19000, 0.15, 6304 NR, , SP 52, 0.03, 12
nr, 25, 32, , 42.2, 44.6, 52.7, 12, 1.35, 1.12, 2.06, 0.6, 0.4, 28.2, 31.9, 43.8, 54, 1.5, 3.18, 0.6, 11.9, 6.55, 0.275, 32000, 16000, 0.08, 6005-ZNR, 6005-ZZNR, SP 47, 0.025, 14
nr, 25, 32, , 42.2, 44.6, 52.7, 12, 1.35, 1.12, 2.06, 0.6, 0.4, 28.2, 31.9, 43.8, 54, 1.5, 3.18, 0.6, 11.9, 6.55, 0.275, 32000, 20000, 0.08, 6005 NR, , SP 47, 0.025, 14
nr, 25, 34.3, , 46.3, 49.73, 57.9, 15, 1.35, 1.12, 2.46, 1, 0.4, 30.6, 34.3, 46.4, 59, 1.5, 3.58, 1, 14.8, 7.8, 0.335, 28000, 14000, 0.13, 6205 NR, , SP 52, 0.025, 14
nr, 25, 36.6, , 52.7, 59.61, 67.7, 17, 1.9, 1.7, 3.28, 1.1, 0.6, 32, 36.5, 55, 69, 2.2, 4.98, 1, 23.4, 11.6, 0.49, 24000, 13000, 0.23, 6305-ZNR, 6305-ZZNR, SP 62, 0.03, 12
nr, 25, 36.6, , 52.7, 59.61, 67.7, 17, 1.9, 1.7, 3.28, 1.1, 0.6, 32, 36.5, 55, 69, 2.2, 4.98, 1, 23.4, 11.6, 0.49, 24000, 16000, 0.23, 6305 NR, , SP 62, 0.03, 12
nr, 30, 38.2, , 49, 52.6, 60.7, 13, 1.35, 1.12, 2.06, 1, 0.4, 34.6, , 50, 62, 1.5, 3.18, 1, 13.8, 8.3, 0.355, 28000, 17000, 0.12, 6006-ZNR, 6006-ZZNR, SP 55, 0.025, 15
nr, 30, 40.3, , 54.1, 59.61, 67.7, 16, 1.9, 1.7, 3.28, 1, 0.6, 35.6, 40.3, 56, 69, 2.2, 4.98, 1, 20.3, 11.2, 0.475, 24000, 12000, 0.21, 6206-ZNR, 6206-ZZNR, SP 62, 0.025, 14
nr, 30, 40.3, , 54.1, 59.61, 67.7, 16, 1.9, 1.7, 3.28, 1, 0.6, 35.6, 40.3, 56, 69, 2.2, 4.98, 1, 20.3, 11.2, 0.475, 24000, 15000, 0.21, 6206 NR, , SP 62, 0.025, 14
nr, 30, 44.6, , 61.9, 68.81, 78.6, 19, 1.9, 1.7, 3.28, 1.1, 0.6, 37, 44.5, 65, 80, 2.2, 4.98, 1, 29.6, 16, 0.67, 20000, 11000, 0.36, 6306-ZNR, 6306-ZZNR, SP 72, 0.03, 13
nr, 30, 44.6, , 61.9, 68.81, 78.6, 19, 1.9, 1.7, 3.28, 1.1, 0.6, 37, 44.5, 65, 80, 2.2, 4.98, 1, 29.6, 16, 0.67, 20000, 13000, 0.37, 6306 NR, , SP 72, 0.03, 13
nr, 35, 43.7, , 55.7, 59.61, 67.7, 14, 1.9, 1.7, 2.06, 1, 0.6, 39.6, , 57, 69, 2.2, 3.76, 1, 16.8, 10.2, 0.44, 24000, 15000, 0.16, 6007 NR, , SP 62, 0.025, 15
nr, 35, 46.9, , 62.7, 68.81, 78.6, 17, 1.9, 1.7, 3.28, 1.1, 0.6, 42, 46.8, 65, 80, 2.2, 4.98, 1, 27, 15.3, 0.655, 20000, 10000, 0.31, 6207-ZNR, 6207-ZZNR, SP 72, 0.025, 14
nr, 35, 46.9, , 62.7, 68.81, 78.6, 17, 1.9, 1.7, 3.28, 1.1, 0.6, 42, 46.8, 65, 80, 2.2, 4.98, 1, 27, 15.3, 0.655, 20000, 13000, 0.3, 6207 NR, , SP 72, 0.025, 14
nr, 35, 49.5, , 69.2, 76.81, 86.6, 21, 1.9, 1.7, 3.28, 1.5, 0.6, 44, 49.5, 71, 88, 2.2, 4.98, 1.5, 35.1, 19, 0.815, 19000, 9500, 0.47, 6307-ZNR, 6307-ZZNR, SP 80, 0.03, 13
nr, 35, 49.5, , 69.2, 76.81, 86.6, 21, 1.9, 1.7, 3.28, 1.5, 0.6, 44, 49.5, 71, 88, 2.2, 4.98, 1.5, 35.1, 19, 0.815, 19000, 12000, 0.47, 6307 NR, , SP 80, 0.03, 13
nr, 35, 57.4, , 79.6, 86.6, 96.8, 25, 2.7, 2.46, 3.28, 1.5, 0.6, 46, , 80, 103, 3.1, 5.74, 1.5, 55.3, 31, 1.29, 16000, 10000, 0.99, 6407 NR, , SP 100, 0.035, 12
nr, 40, 49.2, , 61.1, 64.82, 74.6, 15, 1.9, 1.7, 2.49, 1, 0.6, 44.6, , 63, 76, 2.2, 4.19, 1, 17.8, 11, 0.49, 22000, 14000, 0.19, 6008 NR, , SP 68, 0.025, 15
nr, 40, 52.6, , 69.8, 76.81, 86.6, 18, 1.9, 1.7, 3.28, 1.1, 0.6, 47, 52, 73, 88, 2.2, 4.98, 1, 32.5, 19, 0.8, 18000, 9000, 0.39, 6208-ZNR, 6208-ZZNR, SP 80, 0.025, 14
nr, 40, 52.6, , 69.8, 76.81, 86.6, 18, 1.9, 1.7, 3.28, 1.1, 0.6, 47, , 73, 88, 2.2, 4.98, 1, 32.5, 19, 0.8, 18000, 11000, 0.38, 6208 NR, , SP 80, 0.025, 14
nr, 40, 56.1, , 77.7, 86.79, 96.5, 23, 2.7, 2.46, 3.28, 1.5, 0.6, 49, 56, 81, 98, 3, 5.74, 1.5, 42.3, 24, 1.02, 17000, 8500, 0.64, 6308-ZNR, 6308-ZZNR, SP 90, 0.03, 13
nr, 40, 56.1, , 77.7, 86.79, 96.5, 23, 2.7, 2.46, 3.28, 1.5, 0.6, 49, , 81, 98, 3, 5.74, 1.5, 42.3, 24, 1.02, 17000, 11000, 0.64, 6308 NR, , SP 90, 0.03, 13
nr, 40, 62.8, , 87, 96.5, 106.81, 27, 2.7, 2.46, 3.28, 2, 0.6, 53, , 97, 118, 3, 5.74, 2, 63.7, 36.5, 1.53, 14000, 9000, 1.3, 6408 NR, , SP 110, 0.035, 12
nr, 45, 54.7, , 67.8, 71.83, 81.6, 16, 1.9, 1.7, 2.49, 1, 0.6, 51, , 69, 83, 2.2, 4.19, 1, 22.1, 14.6, 0.64, 20000, 12000, 0.24, 6009 NR, , SP 75, 0.025, 15
nr, 45, 57.6, , 75.2, 81.91, 91.6, 19, 1.9, 1.7, 3.28, 1.1, 0.6, 52, 57, 78, 93, 2.2, 4.98, 1, 35.1, 21.6, 0.915, 17000, 8500, 0.44, 6209-ZNR, 6209-ZZNR, SP 85, 0.025, 14
nr, 45, 57.6, , 75.2, 81.91, 91.6, 19, 1.9, 1.7, 3.28, 1.1, 0.6, 52, , 78, 93, 2.2, 4.98, 1, 35.1, 21.6, 0.915, 17000, 11000, 0.43, 6209 NR, , SP 85, 0.025, 14
nr, 45, 62.1, , 86.7, 96.8, 106.5, 25, 2.7, 2.46, 3.28, 1.5, 0.6, 54, 62, 91, 108, 3, 5.74, 1.5, 55.3, 31.5, 1.34, 15000, 7500, 0.89, 6309-ZNR, 6309-ZZNR, SP 100, 0.03, 13
nr, 45, 62.1, , 86.7, 96.8, 106.5, 25, 2.7, 2.46, 3.28, 1.5, 0.6, 54, , 91, 108, 3, 5.74, 1.5, 55.3, 31.5, 1.34, 15000, 9500, 0.85, 6309 NR, , SP 100, 0.03, 13
nr, 45, 68.9, , 95.9, 106.5, 115, 29, 3.1, 2.82, 4.06, 2, 0.6, 58, , 107, 131, 3.5, 6.88, 2, 76.1, 45, 1.9, 13000, 8500, 1.6, 6409 NR, , SP 120, 0.035, 12
nr, 50, 59.7, , 72.8, 76.81, 86.6, 16, 1.9, 1.7, 2.49, 1, 0.6, 55, , 75, 88, 2.2, 4.19, 1, 22.9, 16, 0.71, 18000, 11000, 0.27, 6010 NR, , SP 80, 0.025, 15
nr, 50, 62.5, , 81.7, 86.79, 96.5, 20, 1.9, 1.7, 3.28, 1.1, 0.6, 57, 62, 83, 98, 2.2, 4.98, 1, 37.1, 23.2, 0.98, 15000, 8000, 0.49, 6210-ZNR, 6210-ZZNR, SP 90, 0.025, 14
nr, 50, 62.5, , 81.7, 86.79, 96.5, 20, 1.9, 1.7, 3.28, 1.1, 0.6, 57, , 83, 98, 2.2, 4.98, 1, 37.1, 23.2, 0.98, 15000, 10000, 0.47, 6210 NR, , SP 90, 0.025, 14
nr, 50, 68.7, , 95.2, 106.81, 116.6, 27, 2.7, 2.46, 3.28, 2, 0.6, 61, 68, 99, 118, 3, 5.74, 2, 65, 38, 1.6, 13000, 6700, 1.15, 6310-ZNR, 6310-ZZNR, SP 110, 0.03, 13
nr, 50, 68.7, , 95.2, 106.81, 116.6, 27, 2.7, 2.46, 3.28, 2, 0.6, 61, , 99, 118, 3, 5.74, 2, 65, 38, 1.6, 13000, 8500, 1.1, 6310 NR, , SP 110, 0.03, 13
nr, 50, 75.4, , 105, 125.22, 139.7, 31, 3.1, 2.82, 4.06, 2.2, 0.6, 64, , 116, 141, 3.5, 6.88, 2, 87.1, 52, 2.2, 12000, 7500, 2, 6410 NR, , SP 130, 0.035, 12
nr, 55, 66.3, , 81.5, 86.79, 96.5, 18, 1.9, 1.7, 2.87, 1.1, 0.6, 61, , 84, 98, 2.2, 5.33, 1, 29.6, 21.2, 0.9, 16000, 10000, 0.4, 6011 NR, , SP 90, 0.025, 15
nr, 55, 69, , 89.4, 96.8, 106.5, 21, 2.7, 2.46, 3.28, 1.5, 0.6, 64, 69, 91, 108, 3, 5.74, 1.5, 46.2, 29, 1.25, 14000, 7000, 0.66, 6211-ZNR, 6211-ZZNR, SP 100, 0.025, 14
nr, 55, 69, , 89.4, 96.8, 106.5, 21, 2.7, 2.46, 3.28, 1.5, 0.6, 64, , 91, 108, 3, 5.74, 1.5, 46.2, 29, 1.25, 14000, 9000, 0.63, 6211 NR, , SP 100, 0.025, 14
nr, 55, 75.3, , 104, 115.21, 129.7, 29, 3.1, 2.82, 4.06, 2, 0.6, 66, 75, 109, 131, 3.5, 6.88, 2, 74.1, 45, 1.9, 12000, 6300, 1.45, 6311-ZNR, 6311-ZZNR, SP 120, 0.03, 13
nr, 55, 75.3, , 104, 115.21, 129.7, 29, 3.1, 2.82, 4.06, 2, 0.6, 66, , 109, 131, 3.5, 6.88, 2, 74.1, 45, 1.9, 12000, 8000, 1.4, 6311 NR, , SP 120, 0.03, 13
nr, 55, 81.5, , 114, 135.23, 149.7, 33, 3.1, 2.82, 4.06, 2.1, 0.6, 69, , 126, 151, 3.5, 8.22, 2.1, 99.5, 62, 2.6, 11000, 7000, 2.4, 6411 NR, , SP 140, 0.035, 12
nr, 60, 71.3, , 86.5, 91.82, 101.6, 18, 1.9, 1.7, 2.87, 1.1, 0.6, 66, , 89, 103, 2.2, 5.33, 1, 30.7, 23.2, 0.98, 15000, 9500, 0.43, 6012 NR, , SP 95, 0.025, 16
nr, 60, 75.5, , 98, 106.81, 116.6, 22, 2.7, 2.46, 3.28, 1.5, 0.6, 69, 75, 101, 118, 3, 5.74, 1.5, 55.3, 36, 1.53, 13000, 6300, 0.83, 6212-ZNR, 6212-ZZNR, SP 110, 0.025, 14
nr, 60, 75.5, , 98, 106.81, 116.6, 22, 2.7, 2.46, 3.28, 1.5, 0.6, 69, , 101, 118, 3, 5.74, 1.5, 55.3, 36, 1.53, 13000, 8000, 0.8, 6212 NR, , SP 110, 0.025, 14
nr, 60, 81.8, , 113, 125.22, 139.7, 31, 3.1, 2.82, 4.06, 2.1, 0.6, 72, 81, 118, 141, 3.5, 6.88, 2, 85.2, 52, 2.2, 11000, 5600, 1.8, 6312-ZNR, 6312-ZZNR, SP 130, 0.03, 13
nr, 60, 81.8, , 113, 125.22, 139.7, 31, 3.1, 2.82, 4.06, 2.1, 0.6, 72, , 118, 141, 3.5, 6.88, 2, 85.2, 52, 2.2, 11000, 7000, 1.75, 6312 NR, , SP 130, 0.03, 13
nr, 60, 88.1, , 122, 145.24, 159.7, 35, 3.1, 2.82, 4.06, 2.1, 0.6, 74, , 136, 162, 3.5, 7.72, 2.1, 108, 69.5, 2.9, 10000, 6300, 2.9, 6412 NR, , SP 150, 0.035, 12
nr, 65, 76.3, , 91.5, 96.8, 106.5, 18, 1.9, 1.7, 2.87, 1.1, 0.6, 71, , 94, 108, 2.2, 5.33, 1, 31.9, 25, 1.06, 14000, 9000, 0.45, 6013 NR, , SP 100, 0.025, 16
nr, 65, 83.3, , 106, 115.21, 129.7, 23, 2.7, 2.46, 3.28, 1.5, 0.6, 74, 83, 111, 131, 3.5, 5.74, 1.5, 58.5, 40.5, 1.73, 12000, 6000, 1.1, 6213-ZNR, 6213-ZZNR, SP 120, 0.025, 15
nr, 65, 83.3, , 106, 115.21, 129.7, 23, 2.7, 2.46, 3.28, 1.5, 0.6, 74, , 111, 131, 3.5, 5.74, 1.5, 58.5, 40.5, 1.73, 12000, 7500, 1.05, 6213 NR, , SP 120, 0.025, 15
nr, 65, 88.3, , 122, 135.23, 149.7, 33, 3.1, 2.82, 4.06, 2, 0.6, 77, 88, 128, 151, 3.5, 6.88, 2, 97.5, 60, 2.5, 10000, 5300, 2.15, 6313-ZNR, 6313-ZZNR, SP 140, 0.03, 13
nr, 65, 88.3, , 122, 135.23, 149.7, 33, 3.1, 2.82, 4.06, 2, 0.6, 77, , 128, 151, 3.5, 6.88, 2, 97.5, 60, 2.5, 10000, 6700, 2.15, 6313 NR, , SP 140, 0.03, 13
nr, 65, 94, , 131, 155.22, 169.7, 37, 3.1, 2.82, 4.9, 2.1, 0.6, 79, , 146, 172, 3.5, 7.72, 2.1, 119, 78, 3.15, 9500, 6000, 3.4, 6413 NR, , SP 160, 0.035, 12